wn_idx,mean,std
267,0.007597976,0.008589749
268,0.010797191,0.010360615
269,0.015070627,0.012687258
270,0.02016063,0.015078158
271,0.02569387,0.017471258
272,0.031809364,0.019886538
273,0.038961116,0.022078758
274,0.046641,0.023300024
275,0.053857878,0.023566345
276,0.059633512,0.022987338
277,0.064372696,0.022683356
278,0.06782881,0.022161948
279,0.069836706,0.021234412
280,0.0707456,0.02041274
281,0.07067262,0.01971466
282,0.06960796,0.019012574
283,0.068096444,0.018284827
284,0.06692729,0.017609468
285,0.06640096,0.017120698
286,0.06666666,0.017018855
287,0.06717843,0.0172938
288,0.06726838,0.018193703
289,0.067206174,0.01992729
290,0.066839255,0.021769429
291,0.06579608,0.023385674
292,0.06375147,0.02517916
293,0.06031232,0.027349712
294,0.05523969,0.029786581
295,0.04811712,0.03236867
296,0.038884588,0.03474059
297,0.028042594,0.036633108
298,0.015442816,0.037902396
299,0.0011503088,0.03846308
300,-0.013312613,0.038022716
301,-0.026877683,0.036561664
302,-0.03911019,0.034346536
303,-0.049697816,0.03186912
304,-0.058660965,0.029461142
305,-0.06562702,0.027565021
306,-0.07037182,0.026366564
307,-0.07311133,0.025996594
308,-0.07389218,0.026322959
309,-0.07307838,0.026320964
310,-0.0710739,0.026091423
311,-0.06768275,0.026049249
312,-0.06298124,0.02602034
313,-0.057281453,0.0257078
314,-0.050917942,0.024975332
315,-0.044288944,0.024185264
316,-0.037409108,0.023492474
317,-0.030277373,0.022588486
318,-0.02318135,0.021700786
319,-0.016187007,0.021298893
320,-0.00921876,0.021235507
321,-0.0022588468,0.021323044
322,0.0049185203,0.021561394
323,0.012595044,0.021965917
324,0.02085948,0.022486309
